set	category	size	url	local_path	rationale
czi-synthetic-tile-feature	czi	31262496	https://zenodo.org/records/7015307/files/W96_B2+B4_S=2_T=1=Z=1_C=1_Tile=5x9.czi?download=1	external-fixtures/data/czi/zenodo.org/records/7015307/files/W96_B2+B4_S=2_T=1=Z=1_C=1_Tile=5x9.czi	Targeted Zenodo synthetic tiled feature set; W96 5x9 tile CZI.
czi-synthetic-tile-regression-large	czi	737698784	https://zenodo.org/records/7015307/files/W96_B2+B4_S=2_T=2=Z=4_C=3_Tile=5x9.czi?download=1	external-fixtures/data/czi/zenodo.org/records/7015307/files/W96_B2+B4_S=2_T=2=Z=4_C=3_Tile=5x9.czi	Large Zenodo synthetic tiled CZI regression/stress file; not for routine CI.
dcimg-smoke	dcimg	0	https://downloads.openmicroscopy.org/images/DCIMG/zenodo-14268554/bead_bot4_018/metadata.ini	external-fixtures/data/dcimg/downloads.openmicroscopy.org/zenodo-14268554/bead_bot4_018/metadata.ini	Smallest public files for fast external smoke coverage.
dcimg-smoke	dcimg	99	https://downloads.openmicroscopy.org/images/DCIMG/zenodo-14268554/bead_bot4_018/Z%20Positions.txt	external-fixtures/data/dcimg/downloads.openmicroscopy.org/zenodo-14268554/bead_bot4_018/Z%20Positions.txt	Smallest public files for fast external smoke coverage.
dcimg-smoke	dcimg	141	https://downloads.openmicroscopy.org/images/DCIMG/zenodo-14287640/Cell09/Cell09.txt	external-fixtures/data/dcimg/downloads.openmicroscopy.org/zenodo-14287640/Cell09/Cell09.txt	Smallest public files for fast external smoke coverage.
dcimg-pixel-smoke	dcimg	141	https://downloads.openmicroscopy.org/images/DCIMG/zenodo-14287640/Cell09/Cell09.txt	external-fixtures/data/dcimg/downloads.openmicroscopy.org/zenodo-14287640/Cell09/Cell09.txt	Targeted readable pixel smoke set; keeps the text sidecar with the smallest matching DCIMG payloads.
dcimg-pixel-smoke	dcimg	689232	https://downloads.openmicroscopy.org/images/DCIMG/zenodo-14287640/Cell09/Cell09_642_000_000.dcimg	external-fixtures/data/dcimg/downloads.openmicroscopy.org/zenodo-14287640/Cell09/Cell09_642_000_000.dcimg	Targeted readable pixel smoke set; smallest public DCIMG payload candidate.
dcimg-pixel-smoke	dcimg	689232	https://downloads.openmicroscopy.org/images/DCIMG/zenodo-14287640/Cell09/Cell09_642_000_001.dcimg	external-fixtures/data/dcimg/downloads.openmicroscopy.org/zenodo-14287640/Cell09/Cell09_642_000_001.dcimg	Targeted readable pixel smoke set; smallest public DCIMG payload candidate.
dcimg-pixel-smoke	dcimg	689232	https://downloads.openmicroscopy.org/images/DCIMG/zenodo-14287640/Cell09/Cell09_642_000_002.dcimg	external-fixtures/data/dcimg/downloads.openmicroscopy.org/zenodo-14287640/Cell09/Cell09_642_000_002.dcimg	Targeted readable pixel smoke set; smallest public DCIMG payload candidate.
dicom-smoke	dicom	3308	https://downloads.openmicroscopy.org/images/DICOM/nema/WG04/IMAGES/J2KI/NM1_J2KI	external-fixtures/data/dicom/downloads.openmicroscopy.org/nema/WG04/IMAGES/J2KI/NM1_J2KI	Smallest public files for fast external smoke coverage.
dicom-smoke	dicom	6830	https://downloads.openmicroscopy.org/images/DICOM/nema/WG04/IMAGES/J2KI/CT2_J2KI	external-fixtures/data/dicom/downloads.openmicroscopy.org/nema/WG04/IMAGES/J2KI/CT2_J2KI	Smallest public files for fast external smoke coverage.
dicom-smoke	dicom	9012	https://downloads.openmicroscopy.org/images/DICOM/nema/WG04/IMAGES/J2KI/MR1_J2KI	external-fixtures/data/dicom/downloads.openmicroscopy.org/nema/WG04/IMAGES/J2KI/MR1_J2KI	Smallest public files for fast external smoke coverage.
dv-smoke	dv	32314	https://downloads.openmicroscopy.org/images/DV/U2OS/U2OS_AurB_AurA_003_R3D.dv.log	external-fixtures/data/dv/downloads.openmicroscopy.org/U2OS/U2OS_AurB_AurA_003_R3D.dv.log	Smallest public files for fast external smoke coverage.
dv-smoke	dv	32390	https://downloads.openmicroscopy.org/images/DV/U2OS/U2OS_AurB_AurA_002_R3D.dv.log	external-fixtures/data/dv/downloads.openmicroscopy.org/U2OS/U2OS_AurB_AurA_002_R3D.dv.log	Smallest public files for fast external smoke coverage.
dv-smoke	dv	32462	https://downloads.openmicroscopy.org/images/DV/U2OS/U2OS_AurB_AurA_004_R3D.dv.log	external-fixtures/data/dv/downloads.openmicroscopy.org/U2OS/U2OS_AurB_AurA_004_R3D.dv.log	Smallest public files for fast external smoke coverage.
